source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,bp_rp,anomaly_score
1227712107314688,43.1958678724688,1.9284232652848503,22.195474477475447,0.020028178,1400.2917654668809,0.022124128,-515.645437971644,0.01978163,13.919317,1.9648962,68.785904
3179036008830848,48.353258238212746,4.775200170986658,116.26781443397161,0.042744365,1741.8746105332423,0.04745122,86.49438435103424,0.0436992,12.101368,3.3437214,31.833893
4267552520347776,47.56392170930795,5.90623884657126,55.240631750607875,0.03284258,-122.2030270613495,0.03108993,-563.343416515233,0.027801622,10.885645,2.3352451,24.306768
5676885908994304,41.352598488305624,4.172447361624085,17.575924333295465,0.10273341,-220.05477886012076,0.11905996,-25.81119901750668,0.10468769,17.136904,3.798006,21.777653
769456276704128,47.51489911594037,2.572769511017299,53.084367738704444,0.04279742,180.20093187991495,0.041437715,-320.7204528643748,0.03281088,14.59925,3.4934063,17.992813
3591765186114816,46.89847669326504,4.635180996646655,18.632938005685148,0.07199388,151.3735677817152,0.081034,223.75181241220278,0.0756424,16.554417,3.5777893,17.060968
3124060427493120,48.43491248963329,4.5545015232378585,26.891276421914455,0.1582198,-56.45581996954451,0.17392814,-23.817230132959885,0.156006,17.931368,5.2273464,14.390207
2729232673961216,48.0987454059045,4.152218469777997,27.22482822494142,0.022574455,-65.58347145062514,0.03085897,-10.421652955437256,0.022619573,13.912968,2.5112991,13.764709
6158300203238656,40.80845764893851,5.471861161541998,13.299967845620873,0.10908491,581.3602086068054,0.12821822,-286.9868879336015,0.09767466,13.535733,1.7147818,12.462687
3499474928879104,46.59890035767369,4.547457736113798,25.77270514927296,0.026552645,-60.61903711896908,0.030652693,-34.15896329875357,0.026381684,14.565909,2.90829,11.1557665
9395983989903488,49.92276397591947,6.088955305792635,21.35967505032138,0.06454207,-135.62495366766413,0.078248024,-74.6659765686254,0.06967094,16.431263,3.5308123,10.808338
2673638617215104,47.141127549760796,4.149839471519029,24.693995770566485,0.02717645,24.410359105280023,0.029841794,61.95319693702417,0.027072296,13.973416,2.8923092,10.327945
4824553943618944,41.9323669446604,3.4891535484215206,11.268176891178086,0.09553035,11.62258960084325,0.118767135,120.32707936433589,0.10289075,17.157808,3.1189194,9.898944
6963383233077632,45.961700034802064,6.130449084390715,31.93352888220124,0.045300957,227.79416156462858,0.045487028,54.0002768615433,0.039846964,14.964418,-0.05897045,9.826043
74698071455360,44.726458253515965,0.5112728869230602,14.863119849432609,0.21610634,-77.83268266650842,0.24879196,15.265021343430247,0.21387665,18.841656,0.72904587,9.715426
1184723779331584,43.687526360345004,1.7998550595040883,18.725340537975022,0.43668145,14.592021759287494,0.51654553,43.40314186158207,0.4947815,19.473438,3.7307854,8.341286
